technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.95,"Glass serves as the substrate providing structural support and transparency for the display, universally essential for OLED rigid panels.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.95,"Glass serves as the substrate providing structural support and transparency for the display, universally essential for OLED rigid panels.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.95,"Glass serves as the substrate providing structural support and transparency for the display, universally essential for OLED rigid panels.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.95,"Glass serves as the substrate providing structural support and transparency for the display, universally essential for OLED rigid panels.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.95,"Glass serves as the substrate providing structural support and transparency for the display, universally essential for OLED rigid panels.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Aluminum,0.85,"Aluminum is commonly used for the backplane or frame due to its light weight and corrosion resistance, standard in display assemblies.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Aluminum,0.85,"Aluminum is commonly used for the backplane or frame due to its light weight and corrosion resistance, standard in display assemblies.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Aluminum,0.85,"Aluminum is commonly used for the backplane or frame due to its light weight and corrosion resistance, standard in display assemblies.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Aluminum,0.85,"Aluminum is commonly used for the backplane or frame due to its light weight and corrosion resistance, standard in display assemblies.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Aluminum,0.85,"Aluminum is commonly used for the backplane or frame due to its light weight and corrosion resistance, standard in display assemblies.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.9,Indium is a key element in ITO transparent conductive coatings critical for OLED touch and display function; industry standard with rare substitutes.,811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
